id,name,answer,keywords,playfield_id,xcoord,ycoord
305,"Irascible Golem","Adonis, 2315 x 665 SE and 865 x 1310 SW",,4872,2315,665
306,"Iron Reet","Mutant Domain",,696,857,986
307,Isham,"Inferno, South of Frontier",,4605,2104,1891
308,"Ishimk'Imk","Inferno, 225 Incarnator",Ishimkimk,4605,3573,2168
309,"Iskop the Idolator","Inner Sanctum, 3rd Floor",,0,0,0
310,Ithaki,"Inferno, 255 Incarnator","",4605,3129,3096
311,"Iziris Agathon","Omni-Trade, NE",,710,0,0
312,"Jack ""Leg-Chopper"" Menendez","Varmint Woods",,600,3198,1446
313,"Jack Legchopper Clone #1","Varmint Woods","legchopper leg-chopper leg chopper clone",600,2828,2719
314,"Jack Legchopper Clone #2","Varmint Woods","legchopper leg-chopper leg chopper clone",600,2168,1107
315,"Jack Legchopper Clone #3","Varmint Woods","legchopper leg-chopper leg chopper clone",600,3754,1006
316,"Jack Legchopper Clone #4","Varmint Woods","legchopper leg-chopper leg chopper clone",600,2511,437
317,"Jack Legchopper Clone #5","Varmint Woods","legchopper leg-chopper leg chopper clone",600,4081,349
318,"Janella Gheron","Cyborg Barracks, Greater Tir County",,647,3200,2300
319,"Jeuru the Defiler","Inner Sanctum, 3rd Floor",,0,0,0
320,Joo,"Omni Forest Area, Sunken Swamps",,716,500,2700
321,Jukes,"Adonis, Abyss walking around near other Dryads",,4873,0,0
322,"Karl Berth","Lower Scheol",,4881,1172,2051
323,"Kendric Kuzio","Deep Artery Valley",,595,1532,999
324,"Kira Quinn","Lower Scheol",,4881,817,1528
325,"Klapam Forest","Stret East Bank",,635,0,0
326,"Lab Director","The Longest Road, Foremans Office",,795,1940,775
327,"Lacerator Gunbeetle","Pleasant Meadows (within a fairly large area of)",Bronto,630,2405,633
328,"Leading Blossom","Upper Scheol",,4880,304,1114
329,"Leet Crater","just south east of Omni-Pol Barracks region in Omni Forrest, which is just south outside Omni Entertainment's City Gates.",,716,0,0
330,Leo,"Pandemonium, West Node",,0,0,0
331,Leona,"Newland, Bronto Burger","Doll Rotten Peter Bacchante's Fancy Yellow Hanging Lanterns Yellow Lanterns",567,0,0
332,Libra,"Pandemonium, Middle Node",,0,0,0
333,"Lien the Memorystalker","Temple Of The Three Winds, Greater Tir County",,647,0,0
334,"Limber Dryad","Elysium, Utopolis and South Elysium",,0,0,0
335,Limnos,"Inferno, 255 Incarnator",,4605,3121,2972
336,"Limping Predator","Elysium, South of Remnans",,0,0,0
337,"Live Metal","Greater Tir County, Rocky Outcrops",Livemetal,647,1520,2210
338,"Ljotur The Lunatic","Drill Island, Deep Artery Valley",,595,1103,722
339,"Lord Ghasap","Avalon Dungeon, Avalon",,505,2092,3822
340,"Lord Of The Void","Inferno, E of Frontier, W of Frontier. Nasc Wilds",,0,0,0
341,"Lord of Sand (north)","The Reck","lord of sand",750,2267,2902
342,"Lord of Sand (south)","The Reck","lord of sand",750,1533,237
343,"Loren Warr","West of Newland Lake",,567,345,508
344,"Lost Soul","Elysium, E Whispervale and 115 Inc",,0,0,0
345,"Lurking Dryad","Adonis, NW",,4872,1232,2798
346,"Lush Fields","located in the south central part of the world. Lush Fields has grid access at 1443 x 667 (Lush Hills Resort)and at Harry's at 3115 x 3183. Ferrys to Harry's at 3563 x 916, ferrys to PM OT outpost at 3391 x 797 and 3195 x 3178 and ferry to Omni Trade at 3295 x 2917. No whompa. NW is Andromeda, northeast is Milky Way, west is Clondyke, east is Pleasant Meadows. MutantDomain is located centrally on eastern border.","Lush Feilds Fhields Field Fields Outpost Resort Forest Hill Hills Meadows Op Woods Lushfields North West Mines Nw Omni Mine Prime",695,1443,667
347,M.A.G.S.,"The Reck","mags m.a.g.s.",750,1803,3303
348,"Majestik Woods","Rome Blue, NE",,687,400,2520
349,"Major Woon","Pleasant Meadows","dreadlochs dreads",630,2979,679
350,Malah-Fulcifera,Inferno,"",4605,2127,1861
351,"Mantis Queen","Smuggler's Den, Southern Fouls Hills",,615,1749,869
352,"Marcus Poet Laureate","Broken Shores",,665,1500,2900
353,"Marcus Robicheaux","Broken Shores",,665,1500,2900
354,Marvin,"Southern Artery Valley",,610,1250,2350
355,Mary-Ann,Newland,"AI Quest Social Clothing Thermo Vest combined armor",567,1440,380
356,"Master Divenchy","Newland, near the crash site north of the lake","AI Quest Social Clothing Combined Armor",567,900,860
357,Maychwaham,"Inferno, South of Frontier","",4605,2068,2155
358,Maychwyawi,Inferno,"",4605,2648,2962
359,"Medusa Philanderer",Inferno,"",4605,2567,2937
360,Metalomania,"Lush Fields, Harry's Outpost",,695,2980,3125
361,"Memorial 1","White Citadel",civilization,4321,2926,2028
362,"Memorial 2","Penumbra Valley",civilization,4321,2530,1597
363,"Memorial 3","Frozen Plateau",civilization,4321,2568,466
364,"Memorial 4","Penumbra Forest",civilization,4320,813,1393
365,"Memorial 5",Purity,civilization,4320,828,2245
366,"Mick Nugget McMullet",Clondyke,"Mc Nugget Mcnugget Mick Mcmullet Nuggets",670,1100,3700
367,"Milky Way Spaceship Crash Site","Milky Way",,625,3300,700
368,"Milky Way","located in the southeast part of the world. No grid access or whompa. North of Milky Way is S.Artery Valley, nw is Stret East Bank, west is Andromeda, sw is Lush Fields, south is Pleasant Meadows, SE is Eastern Foul Plains, NE is Belial Forest.",,625,0,0
369,"Miner Beetles","Pleasant Meadows",,630,1100,2300
370,"Misa Ramirez","Newland City, Neuts r' us club","AI Quest Social Clothing Combined Armor",566,447,340
371,"Mitaar Hero",Xan,"Technomaster Sinuh",6013,345,407
372,"Molested Molecules","Condemned Subway",,0,0,0
373,"Monday Klein","Stret Eastbank, NE of Fixer Grid 6L",,635,1300,890
374,"Mooching Dryad","Adonis, NW",,4872,986,2573
375,Moog,"Southern Artery Valley",,610,1850,2550
376,"Morgan Le Faye","Avalon Dungeon, Avalon, down the stairs where the PvP zone starts, and to the right",,505,2092,3822
377,Mort,"located in the northeast part of the world. It has whompas to Stret West Bank and Newland Desert at 2888 x 1909. Grid access is at 1928 x 1255 (Sentinels). There is no zones available to the north or west of Mort, to the south is Newland, to the east is Perpetual Wastelands.","Mort Crater Dungeon Sentinel Base Outpost Sentinels",560,1928,1255
378,Morty,"Tir County, Kuroshio Forest",,646,300,1200
379,Mull,"Adonis, Abyss walking around near other Dryads",,4873,0,0
380,"Murderous Prisoner","Milky Way","murderous prisoner",625,1918,1916
381,"Mutant Domain","located in the west central part of the world. No grid access or whompa. To the north, south and west of Mutant Domain is Lush Fields, east is Pleasant Meadows. This zone lies centrally on the eastern border of Lush Fields.","Mutant Domain Swamp Village Mutantdomain",696,0,0
382,Natsmaahpt,Inferno,"",4605,3057,1348
383,"Neleb The Deranged","Omni Forest, at the very end of the Steps of Madness",,716,800,2844
384,"Nelly Johnson","Eastern Fouls Plain",,620,720,1380
385,"Nematet The Custodian Of Time","Temple Of The Three Winds, Greater Tir County",,647,0,0
386,Netrom,"Southern Artery Valley (a small outpost type ruins)",,610,1988,606
387,"Neutral Trader Shop","20K Outpost, Pleasant Meadows (Whompah)","",630,1190,2350
388,"Neutral Trader Shop","Borealis (West - HItech)","",800,652,576
389,"Neutral Trader Shop","Harrys Outpost, Lush Fields (SW of Grid - Supplies)","",695,3040,3030
390,"Neutral Trader Shop","Newland City (West - Supplies)","",566,290,315
391,"Neuts R Us","Newland City. A club. Most Player Cities have a Whompah to here.","Neuters R Us Neutsrus",566,447,340
392,"Neverta Canyon","","",6013,725,562
393,"Newland City","in the north east part of the world. It has a grid access point outside city west gate at 1172 x 482 and whompas to the ICC, Tir, and Borealis at 390 x 300. To the north, east, south and west of Newland City is Newland.",,566,390,300
394,"Newland Desert","in the northeast part of the world. It has a grid access point at 1172 x 482 and whompas to Newland City and Hope at 2200 x 1575. To the north is Newland, to the south is Varmint Woods. There are currently no zones available to the east or west.","Meetmedeer Meetmeder Meetmedere Metmedere Newland Dessert Newlanddesert",565,2200,1575
395,Newland,"in the northeast part of the world. Grid access at 1527 x 2767 (Meetmedere), whompas inside Newland City to ICC, Newland Desert, and Borealis at 390 x 300. To the north of Newland is Mort, to the south is Newland Desert. Currently no zones available to the east or west.",,567,0,0
396,"Ninth Brood Champion","Hollow Island",,605,0,0
397,"Nippy Slither","Adonis, Abyss N",,4873,1375,3472
398,"Nodda Gregg","Tir County",,646,1933,1494
399,"Nolan Deslandes","Neuters R Us, Newland City",,566,447,340
400,"Notum Cannons",Clondyke,,670,1200,3400
401,"Notum Profundis","Eastern Fouls Plain",,620,773,1430
402,"Notum Soldier","Eastern Fouls Plain",,620,2000,2400
403,"Notum Trainee","Eastern Fouls Plain",,620,2000,2400
404,"Notum Tree",Avalon,,505,2450,1300
405,"Noxious Eremite",Inferno,"",4605,2615,2233
406,Numiel,"Inferno, Fronter",,4605,2821,2454
407,"Nuts & Bolts","Aegean, Wartorn Valley",,586,790,680
408,"Nyame's Abettor","","",4005,717,445
409,"Nyame's Drudge","","",4005,1851,1761
410,"Obediency Enforcer","Eastern Fouls Plain, at the lake",,620,1225,2800
411,"Obediency Inspector","Eastern Fouls Plain, at the lake",,620,1225,2800
412,"Obsolete Soul Dredge",Inferno,"",4605,3149,3217
413,Ofoz,"Newland city, to avoid the attention of the Unicorn forces. You can find him near the north city gate by the mission terminals.",,566,0,0
414,"Omni Forest","in the southeast part of the world. No grid access or whompa. North of Omni Forest is Pleasant Meadows, northeast is Eastern Foul Plains, east us Southern Foul Plains. To the west is Omni Entertainment.","Omni Forrest ",716,0,0
415,"Omni Trader Shop","Omni-1 Entertainment (SE - Big Yalm)","",705,845,430
416,"Omni Trader Shop","Omni-1 Trade (NW - Finest Edition)","",710,230,490
417,"Omni Trader Shop","Rome Blue district (West Wall)","",735,540,330
418,"Omni Trader Shop","Rome Green district (East Wall)","",740,410,340
419,"Omni-1 Entertainment","in the southeast part of the world. It has a grid access point at 879 x 579 and 582x337. Whompa in the north east of town at 890 x 671 lead to 20K. Whompas in south east at 900 x 470 lead to Omni-1 Trade and Rome Red.","Omni Entertainment, Omni Ent",705,0,0
420,"Omni-1 HQ","in the southeast part of the world. It has a grid access point at 602 x 468.","Hq Omni Hq",700,602,468
421,"Omni-1 Trade","in the southeast part of the world. It has a grid access point at 407 x 575. Whompas to ICC, Omni Entertainment, and Galway Castle at 370x380. Out the east gate is Omni1 HQ. Out the west gate is Lush Fields.","Omni Trade",710,0,0
422,"Omni-Pol Command Juggernaut","Primary Base, Avalon. E-W Road Mutant Domain",,505,0,0
423,"Omni-Tek Mission Agency","Rome Blue, Center","daily mission freelancers",735,658,314
424,"One Who Asks The Unasked","Inferno, Valley of the Dead, under a tent","",4005,1194,759
425,"One Who Is Full Of Compassion","Lower Scheol",,4881,1359,1917
426,"One Who Is Invited Last","","",4005,2483,1187
427,"One Who Learns The Past","Inferno, just north of the portal to Penumbra",,4005,906,182
428,"One Who Talks With The Past","Inferno, in the Valley of the Dead, under a tent",,4005,1194,759
429,"One Whose Mind Is Riddled","Penumbra, at the bottom of an ice cliff",civilization,4320,1531,1882
430,"One Whose Words Happen To Rhyme","Inferno, just north of the portal to Penumbra",,4005,906,182
431,"Operator Bhotaar-Bhotaar Roch","The Garden of Roch",,4683,320,341
432,Oscar,"Greater Omni Forest",,717,0,0
433,Ossuz,"Elysium, inside mountains SW and NW",,0,0,0
434,Otacustes,"Eastern Fouls Plains, Fixer Grid 10R","mercs mercenaries",620,723,1316
435,"Outpost 10-3","Southern Artery Valley, with whompas to Galway Castle, 2HO, and 20K","Outpost 10 3 Outpost 103",610,1150,2340
436,Ownz,"Tir County, Crownhead Forrest",,646,2200,700
437,"Pained Predator","Elysium, South of Remnans",,0,0,0
438,"Patricia Johnson","Ace Camp, Eastern Fouls Plain",,620,720,1380
439,Paxos,Inferno,"",4605,3143,3168
440,"Peacekeeper Constad 1","","dustbrigade db",655,3277,922
441,"Peacekeeper Constad 2",ICC,"dustbrigade db",655,920,655
442,"Peal Thunder","Upper Stret East Bank, NW of Fixer Grid exit 7L","dreadlochs dreads",650,687,1347
443,"Pendpod Trapper","Pleasant Meadows (within a fairly large area of)",Bronto,630,890,1689
444,"Penelopez Magistrale","Newland Desert. Multi-grip Soles AI Quest Social Clothing","AI Quest Social Clothing Combined Armor Multi-grip Soles",565,790,2310
445,"Peristaltic Abomination","Adonis, Abyss East & West",,4873,0,0
446,"Peristaltic Aversion","Adonis, Abyss East & West",,4873,0,0
447,"Perpetual Wastelands","in the northeast part of the world. It has no grid access point and no whompa. To the west is Mort and there are currently no zones available to the east, north or south.","Perpetual Wasetlands Perpetual Waste Lands",570,0,0
448,"Peter Lee","Ace Camp, Eastern Fouls Plain",,620,720,1380
449,Phatmos,"Inferno, West of Razors Lair",,4605,1516,2807
450,"Pietro Molla",Aegean,"Quest Wedding Ring Omni-Tek Trash Can",585,535,345
451,Pisces,"Pandemonium, Middle Node",,0,0,0
452,"Pit Demon","Crypt of Home, Broken Shores",,0,0,0
453,"Pleasant Meadows","in the southeast part of the world. It has a ferry grid to Harry's at 360x1568, grid ferry to Omni Outpost in Lush Fields at 360 x 1565. Whompas at 1261 x 2300 to Outpost 10-3, OmniEntertainment, and 4HOles . North is Milky Way, south is Omni Forest, east is Eastern Foul Plains, west is Lush Fields.","20k Pleasant Fields Pleasant Meadows Pleasant Meadow Pleasant Meadow",630,1261,2300
454,"Poisonous Prisoner","Milky Way","poisonous prisoner",625,2331,2217
455,Polly,"Omni Forest, Swamp River Delta and Northern Drylands",,716,450,1280
456,"Polymorphed Lunatic","Drill Island, Deep Artery Valley",,595,1103,722
457,Powa,"Greater Tir County",,647,800,2400
458,"Primal Bloodcreeper","Condemned Subway 201+, at the part before Vergil",,0,0,0
459,"Prime Evolution Huzzum","The Reck","prime evolution huzzum wizdom",750,1152,2354
460,"Primus Outlaw","Primus Camp, Eastern Fouls Plain",,620,0,0
461,"Primus Scrap Pillager","Primus Camp, Eastern Fouls Plain",,620,0,0
462,"Professor Van Horn","Newland Desert",,565,2900,1600
463,"Prototype A-9000 Guardbot","Holes in the Wall, NW of Last Ditch",,791,841,1891
464,"Prototype Inferno","Cyborg Barracks, Greater Tir County",,647,3232,2340
465,"The Psion","Condemned Subway 201+, in the pitch",,0,0,0
466,"Punctilious Hiathlin","Inferno, 255 Incarnator",Punctlious,4605,3332,2968
467,"Pursued Spirit",Inferno,"",4005,722,1063
468,"Putrid Eremite","Inferno, 225 Incarnator",,4605,3434,1889
469,"Pyiininnik's Shadow","","",4605,3240,1689
470,Pyiininnik,Inferno,"",4605,3325,1684
471,"Queen of the Slums","Condemned Subway 201+, where the path leads to the deep subway",,0,0,0
472,"Qi Qiao Jie","Borealis. He sells valentines items.",,800,720,675
473,"Quintus Romulus","Foremans Office",,0,0,0
474,"R-2000 Vermin Disposal Unit","Greater Tir County, Brainy Ant Woods","R 2000 Vermin Disposal Unit R2000 Vermin Disposal Unit",647,800,1800
475,"Ramon Bauer","Old Athen","Bazzit's Alien Library Linked Hacker Tool Vanguard Node Access Card Kyr'Ozch Structural Analyzer",540,500,565
476,"Razor the Battletoad","Inferno, Razor's Lair","",4605,1953,2609
477,Red,Aegean,,585,650,1450
478,"Redeemed Temple Inferno","","",4605,2320,3242
479,"Reet Retreat","Stret West Bank, Last Ditch. A club.","Leet Retreat Reet Retrat",790,1206,2807
480,"Research Dome 1 Warden","Belial Forest","biodome warden bio dome",605,1408,2540
481,"Research Dome 2 Warden","Belial Forest","biodome warden bio dome",605,1451,2054
482,"Research Dome 3 Warden","Belial Forest","biodome warden bio dome",605,1538,1086
483,"Resurrecting Swamp Hag Clan #1","Belial Forest","",605,1381,2170
484,"Resurrecting Swamp Hag Clan #2","Belial Forest","",605,1338,1945
485,"Resurrecting Swamp Hag Clan #3","Belial Forest","",605,1310,1392
486,"Rhino Cockpit","Newland Desert. You can get there by going NE from Newland City, zone and continue NE once in Newland Desert. Rhino Cockpit has become a pretty popular site for L 25-35 groups","Rhino Pit",565,3140,1920
487,"Rhompa Bar",Omni-Ent,"Rhompa Club",705,714,698
488,Richelieu,"Southern Artery Valley",,610,1850,2550
489,"Ris Lee","Ace Camp, Eastern Fouls Plain",,620,720,1380
490,"Rising Sun","Aegean, south of Wartorn Valley",Risingsun,585,0,0
491,"Robin Raag","Smuggler's Den, behind Ash at 21 x 217",,123,1749,869
492,"Rome Blue","in the southwest part of the world. Out the west gates is Rome Red where the whompas are. Out the east gate is Galway Shire.","Omni Blue",735,647,315
493,"Rome Green","in the southwest part of the world. Out the east gate is Rome Red where the whompas are.  From SL there is a portal that is located very near some shops.",Romegreen,740,0,0
494,"Rome Red Grid","",rrg,730,251,318
495,"Rome Red","in the southwest part of the world. It has a grid access point at 251 x 318. Whompas at 350x315 to Omni Entertainment, Galway Castle, and Broken Shores. Rome Blue is to the east and Rome Green is to the west.",,730,309,314
496,"Ron McBain","Stret East Bank, at the 2HO Outpost",,635,750,1700
497,"Rotting Eremite","Inferno, 225 Incarnator",,4605,3369,1898
498,Sabulum,"Perpetual Wastelands. It is a neutral town.",,570,1050,2400
499,"Sadistic Soul Dredge","Elysium, E Whispervale and 115 Inc",,0,0,0
500,Sagittarius,"Pandemonium, North Node",,0,0,0
501,Salahpt,"Inferno, South of Frontier",,4605,2140,2644
502,"Sally Tall","Meetmedere, in a small pocket of 75% gas",,565,1480,2760
503,"Sam Chin","Tir County, located in Inquisitive Wasp, southeast of Tir City. Deliver the supply crate from Genghis Pan.",,646,2725,620
504,Sanatsimk,Inferno,"",4605,3071,1503
505,"Scalding Weaver","in Sorrow Pass (the chasm near sorrow), this has a very large spawn area so look all around for them as well including outside the pass",,4005,1450,1425
506,"Scary Spider","Inferno, SE of 255 Incarnator","",4605,3494,2772
507,"Scientist Maud Stevens","Borealis, up by the Radar Dish","AI Quest Social Clothing combined armor",800,360,405
508,Scorpio,"Pandemonium, North Node",,0,0,0
509,"Scratching Soul Dredge","Adonis, NE",,4872,2666,2562
510,"Screeching Imp","Elysium, Near Ergo",,0,0,0
511,"Scrupulous Hiathlin","Inferno, 255 Incarnator","",4605,3386,3127
512,"Sean Powell","Secluded Base in Southern Fouls Hills","sean powell informant",615,2599,2903
513,"Second Brood Champion","Hollow Island",,605,0,0
514,"Sentinel Commander Higgins","Tir City",,640,500,500
515,"Sergeant Major Sovic","The Reck","major sovic",750,1843,3342
516,"Seventh Brood Champion","Hollow Island",,605,0,0
517,"Shivering Pete","Penumbra Valley",civilization,4321,2319,1217
518,"Shy Eremite","Inferno, South-East of Sorrow (straight south of Anansi Devotee's) around",,4605,1650,1150
519,"Silenced Prisoner","Milky Way, north of Harry's","silenced prisoner",625,2916,299
520,"Silent Spider",Inferno,"",4605,3208,3529
521,"Simon Stark","Newland Desert","AI Quest Social Clothing Antiseptic Protector Combined Armor",565,1155,1747
522,"Sinful Soul Dredge","Adonis, 1581 x 595 S and 1741 x 2198 N",,4872,1581,595
523,"Sipius Aban Lux-Wel","Garden of Aban, Nascense.","Quest Clan Garden Key Alban Redeemed",4676,465,495
524,Sirocco,"Old Athen",,540,210,215
525,"Sixth Brood Champion","Hollow Island",,605,0,0
526,"Skulking Dryad","Adonis, NW",,4872,1113,2639
527,Skylight,"Adonis, Abyss N",,4873,1600,2075
528,"Slinking Dryad","Adonis, West and NW Island",,4872,0,0
529,"Smokey Willy","Omni-Ent, in the north western corner of sewers",,705,472,1043
530,"Smoky Salamander","Is One Of Many Spots In Burning Marshes",,4005,1650,1260
531,"Smoldering Shadow","near the petrified hecklers near Sorrow, around 1081, 1160 and can also be find north of there around 759 x 1436",,4005,1081,1160
532,"Smuggler's Den","in the southeast corner of the world, in Southern Fouls Hills at 1755 x 872.","Smuggler Den",615,1755,872
533,"Snaking Dryad","Adonis, NW",,4872,868,2503
534,"Snatching Soul Dredge","Adonis, Dead Ends Ark",,4872,0,0
535,"Somphos Argeele","North West of Dark Marshes and spawns around a large rock",,4005,1770,900
536,"Somphos Argef","North West of Dark Marshes and spawns around a large rock",,4005,1770,900
537,"Somphos Sorlivet","North West of Dark Marshes and spawns around a large rock (Spawns on the East Side of the rock)",,4005,1770,900
538,"South Fouls Hills","in the southeast corner of the world. No grid and no whompa.North of S.Fouls Hills is Eastern Foul Plains, west is Omni Forest, northwest is Pleasant Meadows. No zones avail to south or east.",,615,0,0
539,"Southern Artery Valley","in the mideastern part of the world. No grid access. Whompas to Galway Castle, 2HO, and 20K at 1150 x 2340. North of S.Artery Valley is Central Artery Valley, south is Milky Way (but a force field will not allow you to zone south), west is Stret East Bank and east is (ne) Deep Artery Valley (se) Belial Forest.",,610,1150,2340
540,"Special Agent Deko","North-East corner of Broken Shores. Closest fixer grid is 9R. Be careful, this is a 25% gas area.","dreadlochs dreads dread",665,2238,4767
541,"Special Agent Lamb","Deep Artery Valley",,0,0,0
542,"Special Agent Moxy","Eastern Fouls Plains","moxi dreadlochs dreads",620,974,3744
543,Spetses,"Inferno, 255 Incarnator",,4605,3261,3163
544,"Spirit Of Disruption","Inferno, among the ruins just north of the portal to Penumbra",,4605,1015,205
545,"Spiritual Prisoner","Milky Way","spiritual prisoner",625,882,631
546,"Splintered Girder","Elysium, West wall of Central Ely",,0,0,0
547,"Stanley Adams","Varmint Woods",,600,3850,1900
548,Stark,"Adonis, Abyss N",,4873,1701,2321
549,"Stealing Dryad","Adonis, NW",,4872,920,2437
550,"Steele Filar","Inferno, NE of Frontier",,4605,2736,2936
551,"Stephen Richards","","",4005,2483,1187
552,"Steps Of Madness","in the southeast part of the world, in Omni Forest at 800 x 2800. Leave Omni Ent by the east gate to reach the dungeon. Recommended for teams of lvl 35-45.","Step Of Madness Madness Dungeon",716,800,2800
553,"Stolt Jensenberg","At Stolt's Trading Outpost near the Whom-pahs in Newland Desert","Jens Stoltenberg",565,2172,1550
554,"Stoltz Outpost","just across the Newland Desert zone line in Newland. It has food machines only.",,565,2172,1543
555,"Stret East Bank","in the mid-west part of the world. Grid access in 2HO at 667 x 1638, whompas at 783 x 1599 to Outpost 10-3 and 4 Holes. Ferry to 4 HOles at 820 x 1977. To the north of Stret East Bank is Upper Stret East Bank, to the northwest is Stret West Bank, to the northeast is Central Artery Valley, to the southwest is Andromeda, to the southeast is Milky Way, to the east is Southern Artery Valley and to the west is 4 Holes.","Stret Eastbank",635,783,1599
556,"Stret West Bank","in the west central part of the world. It has a ferry to Stret East Bank at 1141 x 529 and whompa at 1279 x 2894 (in Last Ditch) to Borealis and to Hope. North is Aegean(ne) and Athen Shire(nw), south is 4HOles, east is Upper Stret East Bank, west is Borealis.","Stret Westbank",790,1279,2894
557,"Strike Foreman","Condemned Subway, usually on the bridge",,0,0,0
558,"Striking Ant Tir Outpost","Tir County. The outpost has mission terms, shops, banks and insure terms.",,646,1915,1492
559,Stumpy,"Greater Omni Forest",,717,2000,1300
560,Subway,ICC,,655,3303,838
561,"Suir-Katan, The Custodian","","",4605,2500,2527
562,"Supply Master Eel","Avalon, Secondary Base","Supplymaster Eel",505,900,1600
563,"Supply Master Smug","Wailing Wastes, NE corner","Supplymaster Smug",551,2700,3500
564,"Susan Furor","at Poole/Galway County at AGT only",,685,1219,1940
565,"Swirling Eremite","Elysium, Sand dunes near Cold Rock",,0,0,0
566,Syros,Inferno,"",4605,3208,2975
567,T.I.M.,"Foremans, The Longest Road",,795,2000,800
568,Tarasque,"Avalon Dungeon, Avalon",,505,2092,3822
569,Taurus,"Pandemonium, Middle Node",,0,0,0
570,Tdecin,"Elysium, inside mountains SW and NW",,0,0,0
571,"Tearing Soul Dredge","Adonis, NE",,4872,2763,2638
572,"Techleader Praetor","Cyborg Barracks, Greater Tir County",,647,3232,2340
573,"Technologist Frank Jobin","Lower Scheol",,4881,1066,1813
574,"Temple Of The Three Winds","Greater Tir County, out the Tir west gate and go north. There is a shortcut teleportal in the SE part of Rome Green near 420 x 240 (behind some red boxes). You must be L 60 or below to enter.",Totw,647,420,240
575,"Temporal Prisoner","Milky Way","",625,3172,2140
576,"Tenth Brood Champion","Hollow Island",,605,0,0
577,"The Beast",Pandemonium,,0,0,0
578,"The Broken Falls","Broken Shores",,665,1450,3100
579,"The Brood Mother","Hollow Island",,605,0,0
580,"The Carbon Crystal","Southern Artery Valley",,610,2600,2900
581,"The Collector","","",4328,142,23
582,"The Cup","West Athens, directly beside the grid access.  A quiet little club, the Red Tigers hold their weekly meeting there every Sunday at 20:00 GMT.",thecup,545,452,415
583,"The Curator","Temple Of The Three Winds, Greater Tir County",,647,0,0
584,"The Enigma House","Central Artery Valley",,590,1900,1400
585,"The Eremite Statue","Deep Artery Valley",,595,1300,2300
586,"The Essence Of Primal Understanding","Inferno, Burning Marshes",,4005,1975,1115
587,"The Fixer Grid","accessable from any grid post. You must first complete the Fixer quest, or get a L100+ fixer to help you get inside.",,4107,0,0
588,"The Fixer Shop","Borealis. It looks like a pile of junk and you need 180 B&E to use it as well as being a fixer :)",Fixershop,800,440,400
589,"The Forestwatch Trees","Southern Fouls Hills",,615,1650,1650
590,"The Happy Rebel","Tir City",,640,550,550
591,"The Hollow Island Suzerain","Hollow Island",,605,0,0
592,"The Hollow Reaper","Golem Island, north of Fixer Grid exit DAV 9M",,595,1760,2840
593,"The Iron Reet","Mutant Domain",,696,857,986
594,"The Longest Road","in the northwest part of the world. No grid access, has woompa access to Avalon, Athen Old, and Broken Shores at 3700 x 1615 in the town of Bliss. Athen Shire is to the east. No zones to the north, south, or west. There is a neutral outpost at 3650 x 560 with an ICC scanner and more. Biomare (dungeon) is located at 1930 x 775","Logest Road lLngest Raod",795,0,0
595,"The Nightheart",Pandemonium,,0,0,0
596,"The Obediency Enforcer","Eastern Fouls Plain, at the lake","Obediency Inspector OE",620,1225,2800
597,"The One (Babyface)","Southern Fouls Hills",,615,2250,1810
598,"The One Who Sees Dead People","","",4005,1176,672
599,"The Outzone (AKA APF)","is a raid zone for L180+ characters. To enter the Outzone, board the Unicorn Transport Shuttle found in Andromeda outside the ICC. Or use a <a href='itemref://260424/260424/1'>Decrypted Kyr'Ozch Data Core</a> when you're near the ICC or Unicorn Shuttle Boarding Zone.","Apf Icc",655,3440,1300
600,"The Pest","Deep Artery Valley",,595,1360,2300
601,"The Re-animator","Temple Of The Three Winds, Greater Tir County",,647,0,0
602,"The Retainer Of Ergo","","",4605,2807,3377
603,"The Satellite Dish",Borealis,,800,350,350
604,"The Trash King","Athen Shire","Trash King TK",550,1600,940
605,"Third Brood Champion","Hollow Island",,605,0,0
606,Tinos,"Inferno, West of Razors Lair",,4605,1605,2503
607,Tiny,"Adonis, Abyss",,4873,1691,1504
608,"Tir County","in the northeast part of the world. Grid access and whompa in Tir City. To the north is Greater Tir County, south is Deep Artery Valley (but a force field blocks you from zoning south), west is Varmint Woods, southeast is Central Artery Valley, no zones avail to east.",,646,0,0
609,Tir,"located in the north east part of the world. It has a grid access point at 555 x 527 and a whompas at 475 x 466 to Varmint Woods, ICC, and Athen. To the north, south, east and west of Tir is Tir County.",,640,555,527
610,"Tiunissik's Shadow",Inferno,"",4005,1597,2051
611,Tiunissik,"Inferno, North of Sorrow",,4005,1600,1852
612,"Torrid Spirit","Inferno, North of Sorrow",,4005,1475,2143
613,"Torrith The Ancient","Greater Tir County",,647,400,2200
614,Trap,"Adonis, Abyss",,4873,1718,1460
615,"Trash King Lackey","Athens Shire",Trashkinglackey,550,1600,940
616,"Trash King","Athen Shire, Junkyard outside West Athen",,550,1600,1000
617,"Tri Plumbo","The Longest Road, The Foremans Office",Triplumbo,795,1940,775
618,"Tribo Ratcatcher","West Athens","catcher rat ratcatcher tribo",545,325,362
619,Trip,"Adonis, Abyss",,4873,1766,1489
620,Trup,"Adonis, Abyss",,4873,1729,1535
621,"Tsunayoshi Smith","Southern Artery Valley, near the Largest Soul Fragment.","Melee Shop",610,2600,2900
