id,pb,pb_location,bp_mob,bp_lvl,bp_location,type,slot,line,ql,itemid
212,Hemut,"Scheol Upper","6 Named Croakers: Thapt, Kheferu, Nabur...",125,"Croaker Pass & Facet Canyon (NE)",Support,Chest,Prevailing,120,236133
213,Hemut,"Scheol Upper","6 Named Croakers: Thapt, Kheferu, Nabur...",125,"Croaker Pass & Facet Canyon (NE)",Support,Chest,Running,140,236134
214,Ho,Inferno,Ushamaham,220,"N from Oasis, S from Frontier",Infantry,Waist,Effective,240,235744
215,"Ignis Fatuus","Scheol Lower","Shadows and Demons",125,"Rock Bottom",Artillery,Ear,Surviving,150,235435
216,"Ignis Fatuus","Scheol Lower","Shadows and Demons",125,"Rock Bottom",Extermination,"Right Hand",Residing,130,235996
217,"Ignis Fatuus","Scheol Lower","Shadows and Demons",125,"Rock Bottom",Extermination,"Right Hand",Running,140,235997
218,"Ignis Fatuus","Scheol Lower","Shadows and Demons",125,"Rock Bottom",Extermination,"Right Hand",Working,160,235998
219,"Ignis Fatuus","Scheol Lower","Shadows and Demons",125,"Rock Bottom",Extermination,Thigh,Running,140,236015
220,"Ignis Fatuus","Scheol Lower","Shadows and Demons",125,"Rock Bottom",Infantry,Ocular,Prevailing,120,235622
221,"Ignis Fatuus","Scheol Lower","Shadows and Demons",125,"Rock Bottom",Extermination,"Right Hand",Active,170,235999
222,Imk,"Penumbra Forest","Named Malah and Spinetooth",185,"Cave North from West Hollow Entrance",Artillery,"Left Arm",Persisting,220,235488
223,Imk,"Penumbra Forest","Named Malah and Spinetooth",185,"Cave North from West Hollow Entrance",Infantry,Ocular,Persisting,220,235626
224,Imk,"Penumbra Forest","Named Malah and Spinetooth",185,"Cave North from West Hollow Entrance",Support,"Left Arm",Living,210,236158
225,Imk,"Penumbra Forest","Named Malah and Spinetooth",185,"Cave North from West Hollow Entrance",Support,"Right Wrist",Enduring,190,236179
226,Imk,"Penumbra Forest","Named Malah and Spinetooth",185,"Cave North from West Hollow Entrance",Support,"Right Wrist",Persisting,220,236180
227,Imk,"Penumbra Forest","Named Malah and Spinetooth",185,"Cave North from West Hollow Entrance",Support,"Right Wrist",Vigorous,230,236181
228,Imk,"Penumbra Forest","Named Malah and Spinetooth",185,"Cave North from West Hollow Entrance",Support,Waist,Persisting,220,236198
229,Iunmin,"Scheol Lower","Croaker of Night",110,"Eastern Micro Islands",Artillery,"Left Hand",Surviving,150,235589
230,Iunmin,"Scheol Lower","Croaker of Night",110,"Eastern Micro Islands",Extermination,Ocular,Active,170,235843
231,Iunmin,"Scheol Lower","Croaker of Night",110,"Eastern Micro Islands",Extermination,Brain,Prevailing,120,235857
232,Iunmin,"Scheol Lower","Croaker of Night",110,"Eastern Micro Islands",Extermination,Brain,Surviving,150,235858
233,Iunmin,"Scheol Lower","Croaker of Night",110,"Eastern Micro Islands",Artillery,Brain,Prevailing,120,235413
234,Iunmin,"Scheol Lower","Croaker of Night",110,"Eastern Micro Islands",Extermination,Brain,Active,170,235859
235,Iunmin,"Scheol Lower","Croaker of Night",110,"Eastern Micro Islands",Extermination,Ear,Prevailing,120,235874
236,Juma,"Penumbra Hollows","Named Hiisi Warriors (8)",182,"Middle/South and Sup Level",Artillery,"Left Arm",Vigorous,230,235489
237,Juma,"Penumbra Hollows","Named Hiisi Warriors (8)",182,"Middle/South and Sup Level",Infantry,Ocular,Vigorous,230,235627
238,Juma,"Penumbra Hollows","Named Hiisi Warriors (8)",182,"Middle/South and Sup Level",Support,"Left Wrist",Awakened,180,236215
239,Juma,"Penumbra Hollows","Named Hiisi Warriors (8)",182,"Middle/South and Sup Level",Support,"Left Wrist",Persisting,220,236216
240,Juma,"Penumbra Hollows","Named Hiisi Warriors (8)",182,"Middle/South and Sup Level",Support,"Right Hand",Awakened,180,236231
241,Juma,"Penumbra Hollows","Named Hiisi Warriors (8)",182,"Middle/South and Sup Level",Support,"Right Hand",Vigorous,230,236232
242,Juma,"Penumbra Hollows","Named Hiisi Warriors (8)",182,"Middle/South and Sup Level",Support,Thigh,Awakened,180,236245
243,K,"Inferno Frontier - Eastern","Named Spinetooth Bosses",220,"225 Incarnator - East from Xark's Lair",Extermination,"Left Arm",Cognizant,270,235933
244,K,"Inferno Frontier - Eastern","Named Spinetooth Bosses",220,"225 Incarnator - East from Xark's Lair",Extermination,Feet,Cognizant,270,236055
245,K,"Inferno Frontier - Eastern","Named Spinetooth Bosses",220,"225 Incarnator - East from Xark's Lair",Extermination,"Left Wrist",Cognizant,270,235985
246,K,"Inferno Frontier - Eastern","Named Spinetooth Bosses",220,"225 Incarnator - East from Xark's Lair",Artillery,"Left Wrist",Cognizant,270,235541
247,Kaleva,"Penumbra Hollows","Named Hiisi Warrior Boss (8)",182,"In Corridors and on the South 2nd Floor",Artillery,"Right Wrist",Living,210,235504
248,Kaleva,"Penumbra Hollows","Named Hiisi Warrior Boss (8)",182,"In Corridors and on the South 2nd Floor",Infantry,Brain,Awakened,180,235643
249,Kaleva,"Penumbra Hollows","Named Hiisi Warrior Boss (8)",182,"In Corridors and on the South 2nd Floor",Support,Thigh,Awakened,180,236245
250,Kaleva,"Penumbra Hollows","Named Hiisi Warrior Boss (8)",182,"In Corridors and on the South 2nd Floor",Support,Thigh,Growing,200,236246
251,Kaleva,"Penumbra Hollows","Named Hiisi Warrior Boss (8)",182,"In Corridors and on the South 2nd Floor",Support,Thigh,Living,210,236247
252,Kaleva,"Penumbra Hollows","Named Hiisi Warrior Boss (8)",182,"In Corridors and on the South 2nd Floor",Support,Thigh,Vigorous,230,236248
253,Kaleva,"Penumbra Hollows","Named Hiisi Warrior Boss (8)",182,"In Corridors and on the South 2nd Floor",Support,"Left Hand",Enduring,190,236265
254,Kaleva,"Penumbra Hollows","Named Hiisi Warrior Boss (8)",182,"In Corridors and on the South 2nd Floor",Support,"Left Hand",Living,210,236266
255,"Kaoline Suzerain","Scheol Upper",Eremites,125,"North from West Incarnator",Infantry,Chest,Active,170,235689
256,"Kaoline Suzerain","Scheol Upper",Eremites,125,"North from West Incarnator",Control,"Left Wrist",Running,140,236428
257,"Kaoline Suzerain","Scheol Upper",Eremites,125,"North from West Incarnator",Control,"Right Hand",Breathing,100,236445
258,"Kaoline Suzerain","Scheol Upper",Eremites,125,"North from West Incarnator",Control,"Right Hand",Operative,110,236446
259,"Kaoline Suzerain","Scheol Upper",Eremites,125,"North from West Incarnator",Control,"Right Hand",Residing,130,236447
260,"Kaoline Suzerain","Scheol Upper",Eremites,125,"North from West Incarnator",Artillery,Waist,Working,160,235520
261,"Kaoline Suzerain","Scheol Upper",Eremites,125,"North from West Incarnator",Control,"Right Hand",Surviving,150,236448
262,Khemhet,"Scheol Upper","6 Named: Thapt, Kheferu, Nabur...",110,"NorthEast from Temple Bog",Artillery,Chest,Residing,130,235466
263,Khemhet,"Scheol Upper","6 Named: Thapt, Kheferu, Nabur...",110,"NorthEast from Temple Bog",Support,"Left Arm",Prevailing,120,236154
264,Khemhet,"Scheol Upper","6 Named: Thapt, Kheferu, Nabur...",110,"NorthEast from Temple Bog",Support,"Left Arm",Residing,130,236155
265,Khemhet,"Scheol Upper","6 Named: Thapt, Kheferu, Nabur...",110,"NorthEast from Temple Bog",Support,"Left Arm",Surviving,150,236156
266,Khemhet,"Scheol Upper","6 Named: Thapt, Kheferu, Nabur...",110,"NorthEast from Temple Bog",Support,"Right Wrist",Operative,110,236175
267,Khemhet,"Scheol Upper","6 Named: Thapt, Kheferu, Nabur...",110,"NorthEast from Temple Bog",Infantry,Ear,Vibrating,90,235652
268,Khemhet,"Scheol Upper","6 Named: Thapt, Kheferu, Nabur...",110,"NorthEast from Temple Bog",Support,"Left Arm",Breathing,100,236153
269,"Lethargic Spirit","Scheol Lower","Spirits/Spirit Hunters",125,"Necropolis (Ergo)",Artillery,"Right Arm",Prevailing,120,235451
270,"Lethargic Spirit","Scheol Lower","Spirits/Spirit Hunters",125,"Necropolis (Ergo)",Support,Ocular,Prevailing,120,236066
271,"Lethargic Spirit","Scheol Lower","Spirits/Spirit Hunters",125,"Necropolis (Ergo)",Support,Ocular,Surviving,150,236067
272,"Lethargic Spirit","Scheol Lower","Spirits/Spirit Hunters",125,"Necropolis (Ergo)",Support,Ocular,Working,160,236068
273,"Lethargic Spirit","Scheol Lower","Spirits/Spirit Hunters",125,"Necropolis (Ergo)",Support,Ocular,Active,170,236069
274,"Lethargic Spirit","Scheol Lower","Spirits/Spirit Hunters",125,"Necropolis (Ergo)",Infantry,Brain,Operative,110,235639
275,"Lethargic Spirit","Scheol Lower","Spirits/Spirit Hunters",125,"Necropolis (Ergo)",Support,Brain,Prevailing,120,236082
276,"Loessial Suzerain","Scheol Upper",Eremites,125,"West Incarnator",Artillery,Waist,Operative,110,235517
277,"Loessial Suzerain","Scheol Upper",Eremites,125,"West Incarnator",Control,"Left Arm",Vibrating,90,236372
278,"Loessial Suzerain","Scheol Upper",Eremites,125,"West Incarnator",Control,"Left Arm",Breathing,100,236373
279,"Loessial Suzerain","Scheol Upper",Eremites,125,"West Incarnator",Control,"Left Arm",Operative,110,236374
280,"Loessial Suzerain","Scheol Upper",Eremites,125,"West Incarnator",Control,"Left Arm",Surviving,150,236375
281,Loltonunon,"Scheol Lower","5 Named Hiathlin",125,"Hall of Scheol, The Approach",Infantry,Waist,Operative,110,235737
282,Lurky,"Adonis NW","Named Dryads (5)",165,"The Jaws",Artillery,"Right Hand",Working,160,235555
283,Lurky,"Adonis NW","Named Dryads (5)",165,"The Jaws",Control,"Left Hand",Growing,200,236485
284,Lurky,"Adonis NW","Named Dryads (5)",165,"The Jaws",Control,Feet,Working,160,236499
285,Lurky,"Adonis NW","Named Dryads (5)",165,"The Jaws",Control,Feet,Enduring,190,236500
286,Lurky,"Adonis NW","Named Dryads (5)",165,"The Jaws",Infantry,Chest,Growing,200,235691
287,Lurky,"Adonis NW","Named Dryads (5)",165,"The Jaws",Control,Feet,Growing,200,236501
288,Lurky,"Adonis NW","Named Dryads (5)",165,"The Jaws",Infantry,Chest,Living,210,235692
289,Lya,"Inferno Frontier (near Ergo)",Maychwyawi,220,"WSW from QL 255 Incarnator",Infantry,"Right Arm",Excited,250,235679
290,Marem,"Scheol Lower",Birds/Imps,125,"Eastern Side",Infantry,Ocular,Running,140,235623
291,Marem,"Scheol Lower",Birds/Imps,125,"Eastern Side",Extermination,"Left Hand",Breathing,100,236030
292,Marem,"Scheol Lower",Birds/Imps,125,"Eastern Side",Extermination,"Left Hand",Operative,110,236031
293,Marem,"Scheol Lower",Birds/Imps,125,"Eastern Side",Extermination,Thigh,Active,170,236017
294,Marem,"Scheol Lower",Birds/Imps,125,"Eastern Side",Extermination,"Left Hand",Surviving,150,236032
295,"Marly Suzerain","Scheol Upper",Eremites,125,"West Incarnator & NW",Artillery,"Left Arm",Vibrating,90,235484
296,"Marly Suzerain","Scheol Upper",Eremites,125,"West Incarnator & NW",Infantry,Ear,Running,140,235655
297,"Marly Suzerain","Scheol Upper",Eremites,125,"West Incarnator & NW",Support,"Left Wrist",Breathing,100,236210
298,"Marly Suzerain","Scheol Upper",Eremites,125,"West Incarnator & NW",Support,"Left Wrist",Operative,110,236211
299,"Marly Suzerain","Scheol Upper",Eremites,125,"West Incarnator & NW",Support,"Left Wrist",Running,140,236212
300,"Marly Suzerain","Scheol Upper",Eremites,125,"West Incarnator & NW",Support,"Left Wrist",Surviving,150,236213
301,Misery,"Scheol Lower","Noxious Minx",125,"Necropolis NE",Support,Ear,Vibrating,90,236099
302,Misery,"Scheol Lower","Noxious Minx",125,"Necropolis NE",Support,Ear,Breathing,100,236100
303,Misery,"Scheol Lower","Noxious Minx",125,"Necropolis NE",Support,Ear,Surviving,150,236102
304,Misery,"Scheol Lower","Noxious Minx",125,"Necropolis NE",Artillery,"Right Arm",Residing,130,235452
305,Misery,"Scheol Lower","Noxious Minx",125,"Necropolis NE",Support,Ear,Operative,110,236101
306,Misery,"Scheol Lower","Noxious Minx",125,"Necropolis NE",Infantry,Brain,Residing,130,235640
307,Moochy,"Adonis North","Moochy&Named Dryads",165,"The Jaws",Artillery,"Right Hand",Living,210,235557
308,Moochy,"Adonis North","Moochy&Named Dryads",165,"The Jaws",Infantry,"Left Arm",Living,210,235709
309,Morrow,"Penumbra Valley","Every mobs on the Isle",215,"Frozen Plateau Island",Artillery,Brain,Vital,260,235420
310,Morrow,"Penumbra Valley","Every mobs on the Isle",215,"Frozen Plateau Island",Extermination,Ear,Awakened,180,235876
311,Morrow,"Penumbra Valley","Every mobs on the Isle",215,"Frozen Plateau Island",Extermination,Ear,Enduring,190,235877
312,Morrow,"Penumbra Valley","Every mobs on the Isle",215,"Frozen Plateau Island",Extermination,Ear,Growing,200,235878
313,Morrow,"Penumbra Valley","Every mobs on the Isle",215,"Frozen Plateau Island",Artillery,"Right Hand",Effective,240,235560
314,Morrow,"Penumbra Valley","Every mobs on the Isle",215,"Frozen Plateau Island",Extermination,Brain,Vigorous,230,235863
315,Morrow,"Penumbra Valley","Every mobs on the Isle",215,"Frozen Plateau Island",Extermination,Brain,Excited,250,235864
316,Odqan,Inferno,"Named Spirits: Enkindled 208",220,"SW Yuttos Marshes",Infantry,Waist,Persisting,220,235742
317,"Old Salty","Adonis Abyss","Named Dryads (6)",165,"West / North",Artillery,Waist,Active,170,235521
318,"Old Salty","Adonis Abyss","Named Dryads (6)",165,"West / North",Infantry,Ear,Living,210,235659
319,"Old Salty","Adonis Abyss","Named Dryads (6)",165,"West / North",Support,Feet,Awakened,180,236278
320,"Old Salty","Adonis Abyss","Named Dryads (6)",165,"West / North",Support,Feet,Living,210,236279
321,"Old Salty","Adonis Abyss","Named Dryads (6)",165,"West / North",Control,Ocular,Living,210,236294
322,"Old Salty","Adonis Abyss","Named Dryads (6)",165,"West / North",Control,Brain,Growing,200,236310
323,"Old Salty","Adonis Abyss","Named Dryads (6)",165,"West / North",Control,Ear,Awakened,180,236326
324,"Old Salty","Adonis Abyss","Named Dryads (6)",165,"West / North",Control,Ear,Enduring,190,236327
325,"Old Salty","Adonis Abyss","Named Dryads (6)",165,"West / North",Control,"Right Arm",Persisting,220,236344
326,"Old Salty","Adonis Abyss","Named Dryads (6)",165,"West / North",Infantry,Ear,Growing,200,235658
327,Ooze,"Scheol Upper","Named Girders: Dirty, Sloughy, ...",125,"The Temple Bog (Swamp under Bridge)",Artillery,Waist,Prevailing,120,235518
328,Ooze,"Scheol Upper","Named Girders: Dirty, Sloughy, ...",125,"The Temple Bog (Swamp under Bridge)",Infantry,Chest,Vibrating,90,235687
329,Ooze,"Scheol Upper","Named Girders: Dirty, Sloughy, ...",125,"The Temple Bog (Swamp under Bridge)",Control,"Right Wrist",Vibrating,90,236392
330,Ooze,"Scheol Upper","Named Girders: Dirty, Sloughy, ...",125,"The Temple Bog (Swamp under Bridge)",Control,"Right Wrist",Surviving,150,236393
331,Ooze,"Scheol Upper","Named Girders: Dirty, Sloughy, ...",125,"The Temple Bog (Swamp under Bridge)",Control,Waist,Operative,110,236411
332,Pazuzu,"Inferno Frontier","Crete, Syros, Limnos",220,"QL 255 Incarnator",Infantry,Chest,Cognizant,270,235695
333,Quake,"Adonis SE","Whirling Rocks and Named Golems",195,"In the Sand",Artillery,"Left Arm",Effective,240,235490
334,Quake,"Adonis SE","Whirling Rocks and Named Golems",195,"In the Sand",Artillery,"Right Wrist",Effective,240,235506
335,Quake,"Adonis SE","Whirling Rocks and Named Golems",195,"In the Sand",Infantry,"Right Arm",Vigorous,230,235677
336,Quake,"Adonis SE","Whirling Rocks and Named Golems",195,"In the Sand",Control,Ear,Persisting,220,236328
337,Quake,"Adonis SE","Whirling Rocks and Named Golems",195,"In the Sand",Control,"Right Arm",Persisting,220,236344
338,Quake,"Adonis SE","Whirling Rocks and Named Golems",195,"In the Sand",Control,"Right Arm",Vigorous,230,236345
339,Quake,"Adonis SE","Whirling Rocks and Named Golems",195,"In the Sand",Control,Chest,Effective,240,236362
340,Quake,"Adonis SE","Whirling Rocks and Named Golems",195,"In the Sand",Support,Ear,Effective,240,236107
341,Quake,"Adonis SE","Whirling Rocks and Named Golems",195,"In the Sand",Support,Thigh,Effective,240,236249
342,Quake,"Adonis SE","Whirling Rocks and Named Golems",195,"In the Sand",Control,"Right Arm",Effective,240,236346
343,Quake,"Adonis SE","Whirling Rocks and Named Golems",195,"In the Sand",Control,"Left Arm",Vigorous,230,236379
344,Quondam,"Penumbra Valley","Every mobs on the Isle",215,"Frozen Plateau Island",Artillery,Brain,Excited,250,235419
345,Quondam,"Penumbra Valley","Every mobs on the Isle",215,"Frozen Plateau Island",Artillery,Waist,Vital,260,235524
346,Quondam,"Penumbra Valley","Every mobs on the Isle",215,"Frozen Plateau Island",Infantry,Thigh,Vital,260,235796
347,Quondam,"Penumbra Valley","Every mobs on the Isle",215,"Frozen Plateau Island",Infantry,Feet,Vital,260,235830
348,Quondam,"Penumbra Valley","Every mobs on the Isle",215,"Frozen Plateau Island",Extermination,Ocular,Effective,240,235845
349,Quondam,"Penumbra Valley","Every mobs on the Isle",215,"Frozen Plateau Island",Extermination,Brain,Awakened,180,235860
350,Quondam,"Penumbra Valley","Every mobs on the Isle",215,"Frozen Plateau Island",Extermination,Brain,Growing,200,235861
351,Quondam,"Penumbra Valley","Every mobs on the Isle",215,"Frozen Plateau Island",Extermination,Brain,Persisting,220,235862
352,"Rallies Fete",Inferno,"Tiunissik Spot",235,"North from Sorrow",Artillery,Waist,Alert,280,235525
353,"Rallies Fete",Inferno,"Tiunissik Spot",235,"North from Sorrow",Extermination,"Left Wrist",Alert,280,235986
354,"Redeemed Gilthar",Adonis,"Redeemed Faction Boss & Named Redeemed",175,"Redeemed Temple & Outside",Artillery,Ear,Active,170,235436
355,"Relief Teals",Inferno,"Pyiininnik & Pyiininnik's Shadow",220,"SE Xark's Lair Inferno",Support,"Right Arm",Cognizant,270,236122
356,"Relief Teals",Inferno,"Pyiininnik & Pyiininnik's Shadow",220,"SE Xark's Lair Inferno",Support,Chest,Excited,250,236139
357,"Relief Teals",Inferno,"Pyiininnik & Pyiininnik's Shadow",220,"SE Xark's Lair Inferno",Support,Chest,Vital,260,236140
358,"Relief Teals",Inferno,"Pyiininnik & Pyiininnik's Shadow",220,"SE Xark's Lair Inferno",Artillery,"Left Hand",Vital,260,235594
359,"Sabretooth Slicer","Nascense Swamps",Sabretooths,35,Wetlands,Artillery,Chest,Lethargic,20,235461
360,"Sabretooth Slicer","Nascense Swamps",Sabretooths,35,Wetlands,Artillery,"Right Wrist",Neglectful,25,235497
361,"Sabretooth Slicer","Nascense Swamps",Sabretooths,35,Wetlands,Artillery,Waist,Neglectful,25,235512
362,Sampsa,"Penumbra Valley","Slender Rafter (Dyna)",185,"North from Frozen Plateau",Artillery,Brain,Awakened,180,235416
363,Sampsa,"Penumbra Valley","Slender Rafter (Dyna)",185,"North from Frozen Plateau",Artillery,"Right Hand",Persisting,220,235558
364,Sampsa,"Penumbra Valley","Slender Rafter (Dyna)",185,"North from Frozen Plateau",Infantry,"Right Hand",Enduring,190,235775
365,Sampsa,"Penumbra Valley","Slender Rafter (Dyna)",185,"North from Frozen Plateau",Infantry,"Right Hand",Living,210,235776
366,Sampsa,"Penumbra Valley","Slender Rafter (Dyna)",185,"North from Frozen Plateau",Infantry,"Right Hand",Persisting,220,235777
367,Sampsa,"Penumbra Valley","Slender Rafter (Dyna)",185,"North from Frozen Plateau",Infantry,Thigh,Awakened,180,235793
368,Sampsa,"Penumbra Valley","Slender Rafter (Dyna)",185,"North from Frozen Plateau",Infantry,Thigh,Persisting,220,235794
369,Satkamear,"Scheol Lower","Asatix Caal Coal Benacen Snaahemiel",125,"Halls of Scheol - Bottom Level",Infantry,Waist,Breathing,100,235736
370,Scratch,"Central Elysium (W)","Named Rafters",80,"West of Yuttos, NE of Boneyard",Artillery,Chest,Animated,70,235463
371,Scratch,"Central Elysium (W)","Named Rafters",80,"West of Yuttos, NE of Boneyard",Infantry,"Right Hand",Lulled,60,235769
372,Scratch,"Central Elysium (W)","Named Rafters",80,"West of Yuttos, NE of Boneyard",Infantry,"Right Hand",Moving,80,235771
373,Scratch,"Central Elysium (W)","Named Rafters",80,"West of Yuttos, NE of Boneyard",Artillery,Brain,Lulled,60,235409
374,Scratch,"Central Elysium (W)","Named Rafters",80,"West of Yuttos, NE of Boneyard",Infantry,"Left Wrist",Animated,70,235753
375,Scratch,"Central Elysium (W)","Named Rafters",80,"West of Yuttos, NE of Boneyard",Infantry,"Right Hand",Animated,70,235770
376,Screech,"Central Elysium (W)","Named Rafters",80,"NE from Boneyard, W from Yuttos",Artillery,Brain,Moving,80,235410
377,Screech,"Central Elysium (W)","Named Rafters",80,"NE from Boneyard, W from Yuttos",Artillery,Chest,Moving,80,235464
378,Screech,"Central Elysium (W)","Named Rafters",80,"NE from Boneyard, W from Yuttos",Infantry,Thigh,Moving,80,235786
379,Screech,"Central Elysium (W)","Named Rafters",80,"NE from Boneyard, W from Yuttos",Infantry,"Left Hand",Moving,80,235804
380,Screech,"Central Elysium (W)","Named Rafters",80,"NE from Boneyard, W from Yuttos",Infantry,Thigh,Vibrating,90,235787
381,Screech,"Central Elysium (W)","Named Rafters",80,"NE from Boneyard, W from Yuttos",Infantry,"Right Hand",Breathing,100,235772
382,Shake,"Adonis Abyss NW","Named Slithers",192,"Icicle Keep (NW White Cave)",Artillery,Ocular,Persisting,220,219140
383,Shake,"Adonis Abyss NW","Named Slithers",192,"Icicle Keep (NW White Cave)",Control,Feet,Persisting,220,236502
384,Shake,"Adonis Abyss NW","Named Slithers",192,"Icicle Keep (NW White Cave)",Infantry,"Left Arm",Persisting,220,235710
385,Shake,"Adonis Abyss NW","Named Slithers",192,"Icicle Keep (NW White Cave)",Control,Thigh,Persisting,220,236470
386,Shake,"Adonis Abyss NW","Named Slithers",192,"Icicle Keep (NW White Cave)",Control,"Left Hand",Effective,240,236486
387,"Shake (Golem)","Adonis West Brink","Named Golems",195,"Hollow Maze",Support,Ear,Effective,240,236107
388,"Shake (Golem)","Adonis West Brink","Named Golems",195,"Hollow Maze",Support,Chest,Effective,240,236137
389,"Shake (Golem)","Adonis West Brink","Named Golems",195,"Hollow Maze",Artillery,"Left Arm",Effective,240,235490
390,"Shake (Golem)","Adonis West Brink","Named Golems",195,"Hollow Maze",Artillery,Feet,Effective,240,235611
391,"Shake (Golem)","Adonis West Brink","Named Golems",195,"Hollow Maze",Support,"Right Arm",Effective,240,236120
392,"Shake (Golem)","Adonis West Brink","Named Golems",195,"Hollow Maze",Support,"Left Arm",Effective,240,236159
393,"Shake (Golem)","Adonis West Brink","Named Golems",195,"Hollow Maze",Support,Thigh,Effective,240,236249
394,Shiver,"Adonis Abyss NW","Named Slithers",192,"Icicle Keep (NW White Cave)",Infantry,Chest,Persisting,220,235693
395,Shiver,"Adonis Abyss NW","Named Slithers",192,"Icicle Keep (NW White Cave)",Control,Waist,Persisting,220,236417
396,Shiver,"Adonis Abyss NW","Named Slithers",192,"Icicle Keep (NW White Cave)",Control,"Left Wrist",Persisting,220,236431
397,Shiver,"Adonis Abyss NW","Named Slithers",192,"Icicle Keep (NW White Cave)",Control,"Left Wrist",Vigorous,230,236432
398,Shiver,"Adonis Abyss NW","Named Slithers",192,"Icicle Keep (NW White Cave)",Control,"Right Hand",Persisting,220,236453
399,Shiver,"Adonis Abyss NW","Named Slithers",192,"Icicle Keep (NW White Cave)",Artillery,Chest,Growing,200,235471
400,Shiver,"Adonis Abyss NW","Named Slithers",192,"Icicle Keep (NW White Cave)",Control,"Left Wrist",Effective,240,236433
401,"Silver Fang","Central Elysium","4 Predator Cat Boss",80,"SE from Nero",Artillery,Ocular,Animated,70,219130
402,"Silver Fang","Central Elysium","4 Predator Cat Boss",80,"SE from Nero",Infantry,Ocular,Lulled,60,235620
403,"Silver Fang","Central Elysium","4 Predator Cat Boss",80,"SE from Nero",Infantry,Ear,Animated,70,235651
404,"Silver Fang","Central Elysium","4 Predator Cat Boss",80,"SE from Nero",Artillery,Ear,Lulled,60,235429
405,"Silver Fang","Central Elysium","4 Predator Cat Boss",80,"SE from Nero",Artillery,Feet,Moving,80,235603
406,"Silver Fang","Central Elysium","4 Predator Cat Boss",80,"SE from Nero",Infantry,Ocular,Animated,70,235621
407,"Silver Fang","Central Elysium","4 Predator Cat Boss",80,"SE from Nero",Infantry,Brain,Lulled,60,235637
408,Skulky,"Adonis NW","Skulking Dryad",165,"The Jaws",Artillery,"Right Hand",Active,170,235556
409,Skulky,"Adonis NW","Skulking Dryad",165,"The Jaws",Infantry,Chest,Awakened,180,235690
410,Skulky,"Adonis NW","Skulking Dryad",165,"The Jaws",Infantry,Chest,Living,210,235692
411,Slinky,"Adonis NW","Named Dryads (5)",165,"The Jaws",Artillery,"Left Wrist",Living,210,235539
412,Slinky,"Adonis NW","Named Dryads (5)",165,"The Jaws",Control,Thigh,Active,170,236466
413,Slinky,"Adonis NW","Named Dryads (5)",165,"The Jaws",Control,Thigh,Awakened,180,236467
414,Slinky,"Adonis NW","Named Dryads (5)",165,"The Jaws",Control,Thigh,Growing,200,236468
415,Slinky,"Adonis NW","Named Dryads (5)",165,"The Jaws",Control,Thigh,Living,210,236469
416,Slinky,"Adonis NW","Named Dryads (5)",165,"The Jaws",Infantry,Chest,Awakened,180,235690
417,Slinky,"Adonis NW","Named Dryads (5)",165,"The Jaws",Control,"Left Hand",Working,160,236484
418,Smee,"Adonis Abyss","Named Dryads (6)",165,"West / North",Artillery,Waist,Enduring,190,235522
419,Smee,"Adonis Abyss","Named Dryads (6)",165,"West / North",Infantry,Ear,Living,210,235659
420,Smee,"Adonis Abyss","Named Dryads (6)",165,"West / North",Control,Brain,Growing,200,236310
421,Smee,"Adonis Abyss","Named Dryads (6)",165,"West / North",Control,Ear,Enduring,190,236327
422,Smee,"Adonis Abyss","Named Dryads (6)",165,"West / North",Control,"Right Arm",Growing,200,236343
423,Smee,"Adonis Abyss","Named Dryads (6)",165,"West / North",Control,Chest,Awakened,180,236361
424,Smee,"Adonis Abyss","Named Dryads (6)",165,"West / North",Control,"Left Arm",Growing,200,236377
425,Smee,"Adonis Abyss","Named Dryads (6)",165,"West / North",Control,"Right Wrist",Enduring,190,236395
426,"Spiritless Soul Dredge","Scheol Lower","Spirit Soul Dredge",115,Necropolis,Artillery,Ocular,Surviving,150,219134
427,"Spiritless Soul Dredge","Scheol Lower","Spirit Soul Dredge",115,Necropolis,Artillery,"Left Hand",Vibrating,90,235585
428,"Spiritless Soul Dredge","Scheol Lower","Spirit Soul Dredge",115,Necropolis,Infantry,"Left Hand",Residing,130,235806
429,"Spiritless Soul Dredge","Scheol Lower","Spirit Soul Dredge",115,Necropolis,Infantry,"Left Hand",Running,140,235807
430,"Spiritless Soul Dredge","Scheol Lower","Spirit Soul Dredge",115,Necropolis,Artillery,"Right Arm",Breathing,100,235450
431,"Spiritless Soul Dredge","Scheol Lower","Spirit Soul Dredge",115,Necropolis,Infantry,Feet,Prevailing,120,235824
432,"Spiritless Soul Dredge","Scheol Lower","Spirit Soul Dredge",115,Necropolis,Infantry,"Left Hand",Surviving,150,235808
433,Srahir,"Penumbra Hollows","Shadows and Hiathlins",180,"South Shadow Camps",Artillery,Chest,Enduring,190,235470
434,Srahir,"Penumbra Hollows","Shadows and Hiathlins",180,"South Shadow Camps",Artillery,Chest,Growing,200,235471
435,Srahir,"Penumbra Hollows","Shadows and Hiathlins",180,"South Shadow Camps",Artillery,Feet,Living,210,235610
436,Srahir,"Penumbra Hollows","Shadows and Hiathlins",180,"South Shadow Camps",Extermination,Feet,Active,170,236050
437,Srahir,"Penumbra Hollows","Shadows and Hiathlins",180,"South Shadow Camps",Extermination,Feet,Persisting,220,236052
