# Table: fun
# Replaces: type=homer
# uuid: id
type,content
homer,"Homer : Here's your giraffe little girl.  Ralph : I'm a boy.  Homer : That's the spirit. Never give up."
homer,"That's it! Being abusive to your family is one thing, but I will not stand by and watch you feed a hungry dog! Go to your room."
homer,"Marge : This is terrible! How will the kids get home?  Homer : I dunno. The Internet? [Springfield snow]."
homer,"I want to set the record straight - I thought the cop was a prostitute."
homer,"That's it! If I'm gonna be trapped inside the house I gotta go out and buy some beer."
homer,"Oh! it's 1 am. I better go home and spend some quality time the kids. [at Moe's]"
homer,"... lousy lovable dog ..."
homer,"FBI agent Scully : This is just a simple lie-detector test. I'll ask some simple questions and you should answer with yes or no. Do you understand?  Homer : Yes.  [ The machine blows up ]."
homer,"Bart : What if don't find anything?   Homer : Then we'll fake it and sell it to the Fox network.  Bart : They'll buy anything.  Homer : Now son, they also do a lot of quality shows ... ha ha ha ... They kill me."
homer,"Homer : No one believes me.  Bart : I believe you, dad.  Homer : Then can you stop the cats from swearing?"
homer,"You changed me too. I am not the same money-driven workaholic that I once was. [nanny Sherry Bobbins]. "
homer,"Homer : I'll have this sweet blood pudding.  Bart : The secret ingredient is blood.  Homer : Blood!?! Olakkkk ... instead I'll have this sweet brain and kidney pie."
homer,"Lisa, the mob's working on getting your saxophone back, but we've also expanded into other important areas ... World domination."
homer,"Lord help me, I'm just not that bright."
homer,"Lurlee your song touched me in so many ways ... and which way to the can?"
homer,"Marge! Look at all this great stuff I found at the Marina. It was just sitting in some guy's boat!"
homer,"Marge, it takes two to lie. One to lie and one to listen."
homer,"Marge, please. Old people don't need companionship. They need to be isolated and studied so that it can be determined what nutrients they have that might be extracted for our personal use."
homer,"Shut up, Brain, or I'll stab you with a Q-tip!"
homer,"Remember that postcard Grandpa sent us from Florida of that alligator biting that woman's bottom? That's right, we all thought it was hilarious. But it turns out we were wrong. That alligator was sexually harassing that woman."
homer,"Marge, would you please tell Bart that I would just like to drink a glass of syrup like I do every morning?"
homer,"Marge, you being a cop makes you the man! Which makes me the woman -- and I have no interest in that, besides occasionally wearing the underwear, which as we discussed, is strictly a comfort thing."
homer,"Me lose brain? Uh, oh! Ha ha ha! Why I laugh?"
homer,"Mr. Scorpio says productivity is up 2 PERCENT, and it's all because of my motivational techniques, like donuts and the possibility of more donuts to come."
homer,"No jokes, no taunting. That kid's got bosoms! Somebody get me a wet towel!"
homer,"No, no, no, Lisa. If adults don't like their jobs, they don't go on strike. They just go in every day and do it really half-assed. That's the American Way."
homer,"Now Bart, since you broke Grandpa's teeth, he gets to break yours."
homer,"Now go on, boy, and pay attention. Because if you do, someday, you may achieve something that we Simpsons have dreamed about for generations: You may outsmart someone!"
homer,"Oh look at me !!! I'm making people happy! I'm the magical man from happy land, with a gumdrop house on lollipop lane! Oh by the way ... I was being sarcastic."
homer,"Operator! Give me the number for 911!"
homer,"Oh, so they have internet on computers now!"
homer,"Bart, with $10,000, we'd be millionaires! We could buy all kinds of useful things like...love!"
homer,"Just because I don't care doesn't mean I don't understand."
homer,"I'm normally not a praying man, but if you're up there, please save me Superman."
homer,"Son, if you really want something in this life, you have to work for it. Now quiet! They're about to announce the lottery numbers."
homer,"Well, it's 1 a.m. Better go home and spend some quality time with the kids."
homer,"Maybe, just once, someone will call me 'Sir' without adding, 'You're making a scene.'"
homer,"Marge, don't discourage the boy! Weaseling out of things is important to learn. It's what separates us from the animals! Except the weasel."
homer,"Doughnuts. Is there anything they can't do?"
homer,"You know, boys, a nuclear reactor is a lot like a woman. You just have to read the manual and press the right buttons."
homer,"Lisa, if you don't like your job you don't strike. You just go in every day and do it really half-assed. That's the American way."
homer,"When will I learn? The answer to life's problems aren't at the bottom of a bottle, they're on TV!"
homer,"Son, when you participate in sporting events, it's not whether you win or lose: it's how drunk you get."
homer,"I'm going to the back seat of my car, with the woman I love, and I won't be back for ten minutes!"
homer,"[Meeting Aliens] Please don't eat me! I have a wife and kids. Eat them!"
homer,"What do we need a psychiatrist for? We know our kid is nuts."
homer,"Marge, you're as beautiful as Princess Leia and as smart as Yoda."
homer,"Kids, you tried your best and you failed miserably. The lesson is, never try."
homer,"The only monster here is the gambling monster that has enslaved your mother! I call him Gamblor, and it's time to snatch your mother from his neon claws!"
homer,"When I look at the smiles on all the children's faces, I just know they're about to jab me with something."
homer,"I'm having the best day of my life, and I owe it all to not going to Church!"
homer,"Lisa, if the Bible has taught us nothing else, and it hasn't, it's that girls should stick to girls sports, such as hot oil wrestling and foxy boxing and such and such."
homer,"I'm not a bad guy! I work hard, and I love my kids. So why should I spend half my Sunday hearing about how I'm going to Hell?"
homer,"Getting out of jury duty is easy. The trick is to say you're prejudiced against all races."
homer,"It's not easy to juggle a pregnant wife and a troubled child, but somehow I managed to fit in eight hours of TV a day."
homer,"Lisa, Vampires are make-believe, like elves, gremlins, and eskimos."
homer,"I want to share something with you: The three little sentences that will get you through life. Number 1: Cover for me. Number 2: Oh, good idea, Boss! Number 3: It was like that when I got here."
homer,"Oh, people can come up with statistics to prove anything, Kent. 14% of people know that."
homer,"Remember that postcard Grandpa sent us from Florida of that Alligator biting that woman's bottom? That's right, we all thought it was hilarious. But, it turns out we were wrong. That alligator was sexually harassing that woman."
homer,"Old people don't need companionship. They need to be isolated and studied so it can be determined what nutrients they have that might be extracted for our personal use."
homer,"How is education supposed to make me feel smarter? Besides, every time I learn something new, it pushes some old stuff out of my brain. Remember when I took that home winemaking course, and I forgot how to drive?"
homer,"Television! Teacher, mother, secret lover."
homer,"Homer no function beer well without."
homer,"I've always wondered if there was a god. And now I know there is--and it's me."
homer,"Kill my boss? Do I dare live out the American dream?"
homer,"If something goes wrong at the plant, blame the guy who can't speak English."
homer,"I'm never going to be disabled. I'm sick of being so healthy."
homer,"I like my beer cold, my TV loud and my homosexuals flaming."
homer,"[Looking at a globe map...country being Uruguay] Hee hee! Look at this country! 'You-are-gay.'"
homer,"All my life I've had one dream, to achieve my many goals."
homer,"Dad, you've done a lot of great things, but you're a very old man, and old people are useless."
homer,"But Marge, what if we chose the wrong religion? Each week we just make God madder and madder."
homer,"I think Smithers picked me because of my motivational skills. Everyone says they have to work a lot harder when I'm around."
homer,"Dear Lord.. The gods have been good to me. For the first time in my life, everything is absolutely perfect just the way it is. So here's the deal: You freeze everything the way it is, and I won't ask for anything more. If that is OK, please give me absolutely no sign. OK, deal."
homer,"That's it! You people have stood in my way long enough. I'm going to clown college!"
homer,"Beer: The cause of, and solution to, all of life's problems."
homer,"If something's hard to do, then it's not worth doing"
homer,"I'm in no condition to drive...wait! I shouldn't listen to myself, I'm drunk!"
homer,"'To Start Press Any Key'. Where's the ANY key?"
